uid,active_days,avg_duration,sessions,avg_pageview,total_pageview,avg_event,total_event,mobile,tablet,desktop,Email,(Other),Paid Search,Organic Search,Referral,Social,Direct,forum,triage,community
021a547a47ba865f2830a85c28efead8,1,31.67,3,1.33,4,0.67,2,0,0,1,0,0,0,1,0,0,0,0,0,0
021f13e30398859a35ae3e806e34584d,1,15.5,2,1.0,2,0.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0
02239be30701a0f9350dcfb177a4f291,1,102.0,1,2.0,2,3.0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
0241944c24cf97b7888ab8c17e23bc2d,1,736.0,1,2.0,2,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0264ffd25781ffe85c9a943fe85f9c5f,97,125.14,7,3.14,22,1.14,8,1,0,1,0,0,0,1,1,0,0,0,0,0
0278490f378362df6ad1e762cf9c2edd,1,102.0,1,2.0,2,2.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
0292369e9e3e2a4801eb4a8bce5698e1,70,322.75,4,4.25,17,2.25,9,1,0,0,0,0,1,1,0,0,0,1,0,0
029e4606fc04c7d5c9ef560163b33744,44,30.5,2,2.0,4,0.5,1,1,0,1,0,0,1,1,0,0,0,0,0,0
02b510dfa6c1bf0e316a1c2244497825,1,18.5,2,2.0,4,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
02c9f3806ff673448c5cc4ca493a8df9,71,608.67,3,2.0,6,2.0,6,1,1,0,0,0,0,1,0,0,0,1,0,0
02d444d91f757ce149308cada93f9240,304,27.6,5,2.2,11,0.2,1,1,0,1,0,0,0,1,0,1,0,0,0,0
02e61db726844e32f3a5645da9bb1754,14,407.0,2,2.0,4,1.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
02ebe167d3a95b27d902e696055ee754,189,118.67,3,1.67,5,1.0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
02ef2dc272875d2f2d248558ad2470b5,1,302.0,2,2.0,4,1.5,3,1,0,0,0,0,0,0,0,0,1,0,0,0
02ef588b991f549c4e3f43f778da7ed9,1,22.0,1,2.0,2,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
02fba42d7eb248083e1ffadd4e87e1b8,1,159.0,1,2.0,2,3.0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
02fe27f824dcfe8cd111ae9303e296ce,1,192.0,1,5.0,5,2.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
030350a6eb194a8bc84ca6082da0e62f,1,10.33,3,1.0,3,0.33,1,1,0,0,0,0,1,0,0,0,0,0,0,0
03128748cecf12406b26ef7eb3993ba8,1,29.0,1,1.0,1,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
03181bad141b8b04bdeb5ca40c6e0c98,1,75.0,1,3.0,3,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
03245b0b50d8911c0e7811dfea9cf662,1,84.67,3,2.0,6,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
032686431153563d0f3943dcf707d544,1,43.0,1,3.0,3,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
032da45d89e29b9114143b4566d0861b,6,85.5,2,2.5,5,1.5,3,0,0,1,0,0,0,0,1,0,0,0,0,0
